355,190

284,190

355,189

283,189

355,189

283,189

355,189

283,189

355,189

283,190

355,189

283,190

356,190

284,189

355,189

283,191

355,189

283,191

355,189

283,191

356,190

284,190

356,190

284,190

356,187

283,187

355,188

282,188

355,188

282,188

355,189

282,189

355,189

282,189

355,189

282,189

354,187

283,188

358,189

285,188

356,185

284,185

356,185

284,185

356,188

283,189

356,188

283,189

356,187

283,188

356,187

283,188

356,190

285,191

355,189

283,188

355,189

283,188

356,190

283,189

356,190

283,189

357,192

284,191

356,194

284,193

356,194

284,193

356,192

284,192

356,192

284,192

356,193

284,192

356,193

284,192

355,192

283,192

355,192

283,192

356,191

284,191

356,191

284,191

356,193

284,194

356,193

284,194

356,193

284,194

355,193

283,193

353,191

282,192

353,191

282,192

353,191

282,192

354,191

281,191

354,191

281,191

354,192

281,193

354,192

281,193

354,192

281,193

354,191

281,192

354,191

281,192

353,190

281,189

354,192

281,191

354,192

281,191

354,190

281,191

354,190

281,191

354,190

281,191

355,193

281,191

355,191

281,190

355,191

281,190

355,192

282,192

355,192

282,192

354,194

284,193

354,194

284,193

354,200

284,198

354,200

284,198

351,194

281,196

351,194

281,196

347,194

275,194

347,194

275,194

343,195

272,195

344,195

271,194

344,195

271,194

347,193

273,194

347,193

273,194

348,190

274,191

348,190

274,191

347,189

275,190

345,192

274,191

345,192

274,191

345,191

273,191

345,191

273,191

345,192

273,192

345,192

273,192

344,192

272,193

